order_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,status,order_date
ORD-056566,7,8,Ergonomic Chair,furniture,3,612.75,1838.25,cancelled,2026-07-28T07:29:27+00:00
ORD-056567,10,7,Standing Desk 120cm,furniture,3,449.00,1347.00,cancelled,2026-07-28T16:20:27+00:00
ORD-056568,4,5,Over-ear Headphones,audio,4,199.95,799.80,pending,2026-07-28T04:12:27+00:00
ORD-056569,3,6,Desk Speakers Pair,audio,3,89.00,267.00,completed,2026-07-28T16:58:47+00:00
ORD-056570,7,3,27in 1440p Monitor,displays,5,319.99,1599.95,pending,2026-07-28T09:02:51+00:00
ORD-056571,3,9,USB-C Hub 8-in-1,accessories,1,39.99,39.99,refunded,2026-07-28T03:38:37+00:00
ORD-056572,1,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,refunded,2026-07-28T00:54:55+00:00
ORD-056573,4,5,Over-ear Headphones,audio,2,199.95,399.90,refunded,2026-07-28T20:49:10+00:00
ORD-056574,1,2,Wireless Mouse,peripherals,2,49.50,99.00,completed,2026-07-28T03:06:12+00:00
ORD-056575,7,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,pending,2026-07-28T20:54:17+00:00
ORD-056576,6,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,pending,2026-07-28T03:18:08+00:00
ORD-056577,1,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,cancelled,2026-07-28T14:02:31+00:00
ORD-056578,4,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,pending,2026-07-28T19:13:56+00:00
ORD-056579,10,3,27in 1440p Monitor,displays,5,319.99,1599.95,pending,2026-07-28T20:52:20+00:00
ORD-056580,10,3,27in 1440p Monitor,displays,5,319.99,1599.95,completed,2026-07-28T23:25:52+00:00
ORD-056581,10,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,pending,2026-07-28T22:38:35+00:00
ORD-056582,10,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,cancelled,2026-07-28T02:40:41+00:00
ORD-056583,7,4,34in Ultrawide Monitor,displays,1,579.00,579.00,completed,2026-07-28T12:27:11+00:00
ORD-056584,9,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,cancelled,2026-07-28T17:57:25+00:00
ORD-056585,8,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,cancelled,2026-07-28T13:07:39+00:00
ORD-056586,9,2,Wireless Mouse,peripherals,5,49.50,247.50,pending,2026-07-28T18:38:59+00:00
ORD-056587,2,10,Laptop Stand Aluminium,accessories,4,27.50,110.00,cancelled,2026-07-28T10:46:18+00:00
ORD-056588,10,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,cancelled,2026-07-28T06:50:11+00:00
ORD-056589,2,8,Ergonomic Chair,furniture,3,612.75,1838.25,cancelled,2026-07-28T23:25:19+00:00
ORD-056590,9,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,refunded,2026-07-28T03:01:45+00:00
ORD-056591,9,8,Ergonomic Chair,furniture,1,612.75,612.75,pending,2026-07-28T23:13:13+00:00
ORD-056592,6,7,Standing Desk 120cm,furniture,1,449.00,449.00,cancelled,2026-07-28T05:07:57+00:00
ORD-056593,2,5,Over-ear Headphones,audio,1,199.95,199.95,cancelled,2026-07-28T06:35:08+00:00
ORD-056594,6,6,Desk Speakers Pair,audio,1,89.00,89.00,completed,2026-07-28T13:03:29+00:00
ORD-056595,7,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,pending,2026-07-28T09:12:04+00:00
ORD-056596,8,1,Mechanical Keyboard 75%,peripherals,3,129.00,387.00,refunded,2026-07-28T04:45:00+00:00
ORD-056597,4,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,refunded,2026-07-28T03:24:57+00:00
ORD-056598,6,4,34in Ultrawide Monitor,displays,2,579.00,1158.00,refunded,2026-07-28T16:36:17+00:00
