order_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,status,order_date
ORD-080696,7,8,Ergonomic Chair,furniture,5,612.75,3063.75,refunded,2026-08-08T22:58:31+00:00
ORD-080697,5,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,completed,2026-08-08T10:01:54+00:00
ORD-080698,8,8,Ergonomic Chair,furniture,1,612.75,612.75,refunded,2026-08-08T08:11:54+00:00
ORD-080699,8,2,Wireless Mouse,peripherals,2,49.50,99.00,refunded,2026-08-08T03:48:37+00:00
ORD-080700,5,5,Over-ear Headphones,audio,1,199.95,199.95,pending,2026-08-08T09:27:24+00:00
ORD-080701,4,1,Mechanical Keyboard 75%,peripherals,3,129.00,387.00,cancelled,2026-08-08T12:12:25+00:00
ORD-080702,8,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,completed,2026-08-08T04:39:45+00:00
ORD-080703,4,3,27in 1440p Monitor,displays,2,319.99,639.98,completed,2026-08-08T11:28:16+00:00
ORD-080704,3,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,completed,2026-08-08T19:49:10+00:00
ORD-080705,8,3,27in 1440p Monitor,displays,4,319.99,1279.96,completed,2026-08-08T15:59:32+00:00
ORD-080706,8,5,Over-ear Headphones,audio,1,199.95,199.95,pending,2026-08-08T04:15:01+00:00
ORD-080707,6,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,refunded,2026-08-08T00:44:39+00:00
ORD-080708,3,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,cancelled,2026-08-08T17:18:48+00:00
ORD-080709,8,4,34in Ultrawide Monitor,displays,3,579.00,1737.00,cancelled,2026-08-08T05:01:25+00:00
ORD-080710,1,4,34in Ultrawide Monitor,displays,3,579.00,1737.00,completed,2026-08-08T09:25:41+00:00
ORD-080711,9,7,Standing Desk 120cm,furniture,2,449.00,898.00,pending,2026-08-08T08:10:34+00:00
ORD-080712,8,7,Standing Desk 120cm,furniture,2,449.00,898.00,pending,2026-08-08T01:42:28+00:00
ORD-080713,9,7,Standing Desk 120cm,furniture,4,449.00,1796.00,refunded,2026-08-08T23:52:46+00:00
ORD-080714,4,5,Over-ear Headphones,audio,1,199.95,199.95,completed,2026-08-08T19:46:58+00:00
ORD-080715,4,8,Ergonomic Chair,furniture,3,612.75,1838.25,refunded,2026-08-08T06:48:44+00:00
ORD-080716,10,7,Standing Desk 120cm,furniture,5,449.00,2245.00,refunded,2026-08-08T17:44:28+00:00
ORD-080717,8,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,completed,2026-08-08T00:37:13+00:00
ORD-080718,9,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,completed,2026-08-08T14:03:04+00:00
ORD-080719,7,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,completed,2026-08-08T01:49:17+00:00
ORD-080720,4,2,Wireless Mouse,peripherals,5,49.50,247.50,completed,2026-08-08T03:48:01+00:00
ORD-080721,6,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,refunded,2026-08-08T19:59:00+00:00
ORD-080722,9,7,Standing Desk 120cm,furniture,2,449.00,898.00,pending,2026-08-08T02:09:35+00:00
ORD-080723,2,5,Over-ear Headphones,audio,3,199.95,599.85,refunded,2026-08-08T20:55:26+00:00
ORD-080724,5,5,Over-ear Headphones,audio,4,199.95,799.80,cancelled,2026-08-08T06:11:57+00:00
ORD-080725,10,7,Standing Desk 120cm,furniture,2,449.00,898.00,pending,2026-08-08T19:24:28+00:00
ORD-080726,10,3,27in 1440p Monitor,displays,4,319.99,1279.96,cancelled,2026-08-08T16:21:45+00:00
ORD-080727,1,2,Wireless Mouse,peripherals,4,49.50,198.00,refunded,2026-08-08T08:26:01+00:00
ORD-080728,7,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,refunded,2026-08-08T11:02:09+00:00
ORD-080729,10,5,Over-ear Headphones,audio,4,199.95,799.80,cancelled,2026-08-08T20:42:15+00:00
ORD-080730,8,10,Laptop Stand Aluminium,accessories,2,27.50,55.00,pending,2026-08-08T19:27:02+00:00
ORD-080731,3,9,USB-C Hub 8-in-1,accessories,3,39.99,119.97,refunded,2026-08-08T22:45:40+00:00
ORD-080732,8,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,completed,2026-08-08T04:59:49+00:00
ORD-080733,6,1,Mechanical Keyboard 75%,peripherals,4,129.00,516.00,refunded,2026-08-08T18:22:22+00:00
ORD-080734,4,4,34in Ultrawide Monitor,displays,4,579.00,2316.00,refunded,2026-08-08T01:12:32+00:00
ORD-080735,5,5,Over-ear Headphones,audio,5,199.95,999.75,cancelled,2026-08-08T21:59:17+00:00
ORD-080736,7,6,Desk Speakers Pair,audio,4,89.00,356.00,cancelled,2026-08-08T02:07:52+00:00
ORD-080737,8,3,27in 1440p Monitor,displays,3,319.99,959.97,refunded,2026-08-08T17:47:00+00:00
ORD-080738,1,7,Standing Desk 120cm,furniture,3,449.00,1347.00,cancelled,2026-08-08T12:36:35+00:00
ORD-080739,10,1,Mechanical Keyboard 75%,peripherals,2,129.00,258.00,pending,2026-08-08T07:23:50+00:00
ORD-080740,8,4,34in Ultrawide Monitor,displays,5,579.00,2895.00,completed,2026-08-08T23:04:24+00:00
ORD-080741,7,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,completed,2026-08-08T23:56:22+00:00
ORD-080742,8,9,USB-C Hub 8-in-1,accessories,2,39.99,79.98,cancelled,2026-08-08T13:50:34+00:00
ORD-080743,9,5,Over-ear Headphones,audio,5,199.95,999.75,cancelled,2026-08-08T05:21:54+00:00
ORD-080744,6,2,Wireless Mouse,peripherals,1,49.50,49.50,refunded,2026-08-08T02:46:22+00:00
ORD-080745,5,8,Ergonomic Chair,furniture,3,612.75,1838.25,pending,2026-08-08T21:16:28+00:00
ORD-080746,8,2,Wireless Mouse,peripherals,3,49.50,148.50,completed,2026-08-08T17:20:19+00:00
ORD-080747,3,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,refunded,2026-08-08T18:04:57+00:00
ORD-080748,9,10,Laptop Stand Aluminium,accessories,1,27.50,27.50,refunded,2026-08-08T23:16:17+00:00
ORD-080749,1,2,Wireless Mouse,peripherals,4,49.50,198.00,refunded,2026-08-08T18:38:43+00:00
ORD-080750,5,8,Ergonomic Chair,furniture,3,612.75,1838.25,pending,2026-08-08T01:28:19+00:00
ORD-080751,8,7,Standing Desk 120cm,furniture,2,449.00,898.00,completed,2026-08-08T19:45:48+00:00
ORD-080752,6,3,27in 1440p Monitor,displays,3,319.99,959.97,pending,2026-08-08T00:44:31+00:00
ORD-080753,3,7,Standing Desk 120cm,furniture,4,449.00,1796.00,cancelled,2026-08-08T02:26:43+00:00
ORD-080754,10,10,Laptop Stand Aluminium,accessories,5,27.50,137.50,refunded,2026-08-08T19:25:58+00:00
ORD-080755,2,2,Wireless Mouse,peripherals,2,49.50,99.00,completed,2026-08-08T14:52:22+00:00
ORD-080756,6,7,Standing Desk 120cm,furniture,1,449.00,449.00,cancelled,2026-08-08T00:26:40+00:00
ORD-080757,3,2,Wireless Mouse,peripherals,4,49.50,198.00,completed,2026-08-08T15:28:55+00:00
ORD-080758,5,3,27in 1440p Monitor,displays,3,319.99,959.97,refunded,2026-08-08T09:13:48+00:00
ORD-080759,10,4,34in Ultrawide Monitor,displays,5,579.00,2895.00,pending,2026-08-08T17:33:27+00:00
ORD-080760,1,8,Ergonomic Chair,furniture,5,612.75,3063.75,cancelled,2026-08-08T01:59:40+00:00
ORD-080761,5,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,completed,2026-08-08T10:57:03+00:00
ORD-080762,2,7,Standing Desk 120cm,furniture,3,449.00,1347.00,completed,2026-08-08T01:10:33+00:00
