order_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,status,order_date
ORD-086373,4,8,Ergonomic Chair,furniture,4,612.75,2451.00,pending,2026-08-10T13:06:08+00:00
ORD-086374,7,5,Over-ear Headphones,audio,2,199.95,399.90,pending,2026-08-10T13:37:28+00:00
ORD-086375,2,2,Wireless Mouse,peripherals,3,49.50,148.50,completed,2026-08-10T15:59:33+00:00
ORD-086376,4,4,34in Ultrawide Monitor,displays,2,579.00,1158.00,completed,2026-08-10T09:24:33+00:00
ORD-086377,10,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,cancelled,2026-08-10T20:43:56+00:00
ORD-086378,2,8,Ergonomic Chair,furniture,2,612.75,1225.50,refunded,2026-08-10T01:36:56+00:00
ORD-086379,9,5,Over-ear Headphones,audio,3,199.95,599.85,cancelled,2026-08-10T04:44:14+00:00
ORD-086380,1,7,Standing Desk 120cm,furniture,5,449.00,2245.00,pending,2026-08-10T13:04:20+00:00
ORD-086381,7,2,Wireless Mouse,peripherals,2,49.50,99.00,cancelled,2026-08-10T13:34:48+00:00
ORD-086382,1,7,Standing Desk 120cm,furniture,4,449.00,1796.00,completed,2026-08-10T22:10:37+00:00
ORD-086383,2,4,34in Ultrawide Monitor,displays,5,579.00,2895.00,pending,2026-08-10T12:45:36+00:00
ORD-086384,10,3,27in 1440p Monitor,displays,1,319.99,319.99,refunded,2026-08-10T07:17:14+00:00
ORD-086385,3,10,Laptop Stand Aluminium,accessories,5,27.50,137.50,completed,2026-08-10T20:42:22+00:00
ORD-086386,2,1,Mechanical Keyboard 75%,peripherals,1,129.00,129.00,refunded,2026-08-10T18:43:16+00:00
ORD-086387,7,2,Wireless Mouse,peripherals,2,49.50,99.00,pending,2026-08-10T06:54:36+00:00
ORD-086388,2,7,Standing Desk 120cm,furniture,4,449.00,1796.00,pending,2026-08-10T19:24:12+00:00
ORD-086389,5,9,USB-C Hub 8-in-1,accessories,5,39.99,199.95,completed,2026-08-10T20:44:58+00:00
